$c_start央视频道$c_end
双色 3D,rtsp://183.59.156.50/PLTV/88888905/224/3221228289/10000100000000060000000007781467_0.smil?0&accountinfo=%7E%7EV2.0%7Ez2AWP-zqo9KD6UbN3pARPg%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
凤凰台,http://stream.guihet.com/t/ifeng2.php?id=3#rtsp://hkss3.phoenixtv.com:1935/fs/phk.stream#http://59.44.10.116:9901/tsfile/live/1023_1.m3u8
卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
翡翠台,http://183.239.206.232:9901/tsfile/live/1011_1.m3u8#http://www.fdkj.net:9901/tsfile/live/1011_1.m3u8
無線新聞,http://1080.youkucdn.live:25461/live/1231444/123/3743.ts#mitv://147.135.39.171:9906/60410a86000b2b564b7737ca69aa1a5d#https://dm1133.kglink.xyz/live/01
有線新聞,mitv://ns2.hellotvvod.com:9906/41a80a6c4fe742f196925c5429c4754d.ts#https://dm1133.kglink.xyz/live/03#http://1080.youkucdn.live:25461/live/1231444/123/3753.ts
Now新闻台,http://1080.youkucdn.live:25461/live/1231444/123/3871.ts
明珠台,http://kkmix1.f3322.net:825/hls/ch1/s.m3u8#http://www.fdkj.net:9901/tsfile/live/1012_1.m3u8
无线财经,http://kkmix1.f3322.net:825/hls/ch2/s.m3u8#http://51.222.193.143:10010/6
开电视,https://dm1133.kglink.xyz/live/06
RTHK31,http://live.tvfix.org/hls/rthk31.m3u8
RTHK32,http://live.tvfix.org/hls/rthk32.m3u8
星空卫视,http://120.84.96.46:808/hls/79/index.m3u8
爆谷台,mitv://51.81.90.178:9906/a064d8afc17a41e0a1fcefc450ebcedf.ts#mitv://ns2.hellotvvod.com:9906/a064d8afc17a41e0a1fcefc450ebcedf.ts
爆谷星影台,mitv://51.81.90.178:9906/bea851aaac474654946ee4ead74e2e6f.ts#mitv://ns2.hellotvvod.com:9906/bea851aaac474654946ee4ead74e2e6f.ts
TVB星河,http://1080.youkucdn.live:25461/live/1231444/123/3739.ts
陽光衛視,mitv://ns2.hellotvvod.com:9906/83aa0058b9de45529f5c00d85484fcb2.ts
ViuTV,mitv://ns2.hellotvvod.com:9906/8c3a3767682e4585b7d5f890de0e3caa.ts
ViuTVsix,mitv://ns2.hellotvvod.com:9906/545f1d004fe146ce84704b3d11ae9ff3.ts
$c_start台湾频道$c_end
中天新闻,https://ssttvv1.6zxr.xyz/ztxw/index.m3u8#http://60.251.59.179:8529/http/192.168.77.24:8081/hls/64/806/ch16.m3u8#http://59.125.101.187:18703/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8
寰宇新聞台,https://ssttvv1.6zxr.xyz/fhwszw/index.m3u8
壹新闻台,http://60.251.59.180:8511/http/116.50.42.19:8081/hls/66/808/ch24.m3u8
三立新闻,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
东森新闻,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
民视新闻,https://ssttvv1.6zxr.xyz/fhwszx/index.m3u8
iNEWS新闻,https://ssttvv1.6zxr.xyz/twtv/index.m3u8
TVBS新闻,https://ssttvv1.6zxr.xyz/tvbs56/index.m3u8
中天综合,http://220.134.196.147:9526/http/60.251.39.91:8081/hls/67/809/ch25.m3u8
中天娱乐,http://220.134.196.147:9527/http/60.251.39.91:8081/hls/67/809/ch26.m3u8
八大戲劇台,p8p://fccs.123178.top:9906/6044d5ac000936f902f58cb70525846f.ts
八大綜合,p8p://fccs.123178.top:9906/6044d641000e5dc002f7d411a124e035.ts
八大娛樂台,p8p://fccs.123178.top:9906/6044d70900008dea02faddc78bf8a126.ts 
$c_start电影频道$c_end
CHC家庭影院,http://111.20.33.93:80/PLTV/88888893/224/3221226462/index.m3u8
CHC高清电影,http://111.20.33.87:80/PLTV/88888893/224/3221226463/index.m3u8?icpid=88888893&from=1&hms_devid=844,784
CHC动作电影,http://111.20.33.93:80/PLTV/88888893/224/3221226465/index.m3u8
超级电影台HD,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
香港凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
香港武侠,http://120.84.96.25:808/hls/85/index.m3u8
金庸武侠,http://117.148.179.132/PLTV/88888888/224/3221231477/index.m3u8
经典大片,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/191823/live_334056_8894439_1500.m3u8
中国功夫,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225660/index.m3u8
中国电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198191
动作电影,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000004000018653/index.m3u8?channel-id=ystenlive&Contentid=1000000004000018653&livemode=1&stbId=no
电影院1,http://112.74.200.9:88/tv000000/m3u8.php?/migu/707671890
电影院2,http://117.148.179.176/PLTV/88888888/224/3221231565/index.m3u8#http://112.74.200.9:88/tv000000/m3u8.php?/migu/625703337
香港赌片,http://data.3g.yy.com/live/hls/29900720/29900720#http://106.53.212.251/daili/yy.php?id=29900720
香港影片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/637483721
家庭电影,http://117.148.179.139/PLTV/88888888/224/3221231643/index.m3u8
轮播电影,http://migu.jilu8.cn/3221231583/index.m3u8
欧美科幻,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=37988782
欧美电影全程,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=29170933
科幻电影24小时,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=14503914
顶级欧美电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=24923327
欧美大片,http://epg.112114.xyz/douyu/2793084
高帧影片,http://epg.112114.xyz/douyu/6763930
米娅电影,http://epg.112114.xyz/douyu/6537888
国产影片,http://epg.112114.xyz/douyu/5423
恐怖影院,https://65537ff319007c0310e1b87d7061588a.v.smtcdns.net/txpcdn.liveplay.egame.qq.com/live/3954_449390391.m3u8
林正英鬼片电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353059120
欧美影院,http://39.136.48.23:8089/PLTV/88888888/224/3221226345/index.m3u8
欧美动作,http://106.53.212.251/daili/yy.php?id=1382745089
高分科幻,http://106.53.212.251/daili/yy.php?id=1382749948
鬼片电影,http://106.53.212.251/daili/yy.php?id=1354792118
香港赌片,http://106.53.212.251/daili/yy.php?id=29900720
华影院,http://117.148.179.154/PLTV/88888888/224/3221231757/index.m3u8
好莱坞影院①,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
好莱坞影院②,http://117.148.179.182/PLTV/88888888/224/3221231699/index.m3u8#http://117.148.179.182/PLTV/88888888/224/3221231699/index.m3u8
VIP影院,https://3954-quic.liveplay.myqcloud.com/live/3954_145086784.flv
新片放映厅,http://112.74.200.9:88/tv000000/m3u8.php?/migu/619495952
喜剧联盟,http://112.74.200.9:88/tv000000/m3u8.php?/migu/637444830
殭屍劇場,http://117.148.179.165/PLTV/88888888/224/3221231742/index.m3u8
每日科幻电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625204865	
百部经典,http://106.53.212.251/daili/yy.php?id=1353426319&type=.m3u8
黑莓电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225769/index.m3u8
电影1[1711*720],http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8
电影2[1280*720],http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8
BEST电影1,http://39.135.55.105:6610/PLTV/88888888/224/3221226708/index.m3u8?servicetype=1
BEST电影2,http://39.135.55.105:6610/PLTV/88888888/224/3221226712/index.m3u8?servicetype=1
BEST电影3,http://39.135.55.105:6610/PLTV/88888888/224/3221227130/index.m3u8?servicetype=1
BEST电影4,http://39.135.55.105:6610/PLTV/88888888/224/3221227037/index.m3u8?servicetype=1
$c_start潮剧选段$c_end
潮剧选段包公赔情,https://vd2.bdstatic.com/mda-kmmuktdzk3up1rfj/mda-kmmuktdzk3up1rfj.mp4?pd=2&pt=0&cr=0&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3539204457&vid=12142690249413964680&auth_key=1642620539-0-0-f482df8f4f31f014d33c24a2c6d45c1f&bcevod_channel=searchbox_feed
潮剧选段柴房会,https://vd2.bdstatic.com/mda-kk17ppngh41x2wg5/mda-kk17ppngh41x2wg5.mp4?pd=2&pt=0&cr=0&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=0001332067&vid=16293442276170831390&auth_key=1642656603-0-0-332f4df4d7146dcf781daaa71bfa6723&bcevod_channel=searchbox_feed
潮剧选段京城会,https://txmov2.a.kwimgs.com/upic/2021/11/27/12/BMjAyMTExMjcxMjI1NTlfOTI3MDI2MTU2XzYxNjE5MDA0NTQ3XzJfMw==_b_B7c73df1317ae0af8f73d03eaeb595dd0.mp4?tag=1-1641743960-std-1-temwy1cy8f-01e00f281c85e98c&clientCacheKey=3xfzc6qrrtcqjtk_b.mp4&tt=b&di=79c43beb&bp=12681
潮剧选段张春郎削发,https://txmov2.a.kwimgs.com/upic/2021/02/09/17/BMjAyMTAyMDkxNzE2MTJfMTEyMTYzNzM4MV80Mzg4MTQ0MzkxNF8yXzM=_b_B1794d6f1b3925d0e34a93bbd924ec6e8.mp4?tag=1-1641400804-std-1-jygfgkzfqc-ac5ea13542202ed8&clientCacheKey=3xuzt98jdb2696a_b.mp4&tt=b&di=79c43beb&bp=12681
潮剧选段包公,https://txmov2.a.kwimgs.com/upic/2021/12/28/00/BMjAyMTEyMjgwMDIyNTRfNjYzNzU0MDQ0XzYzNjM3NTM1MjU0XzJfMw==_b_Bbd8958b5d7b8de29dbd3b07d8583c132.mp4?tag=1-1641966932-std-1-e3nhp9p8nu-5a8ac7d13291257b&clientCacheKey=3x88cmuh2s2crua_b.mp4&tt=b&di=79c43beb&bp=12681
潮剧选段含悲带愤诉真情,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0200fg10000c5m2oqjc77u5nmpgfkog&ratio=720p&line=0
潮剧选段郎探母1,https://vd2.bdstatic.com/mda-khtn21iku4q90c0m/hd/mda-khtn21iku4q90c0m.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640590941-0-0-b387ca62222e52d1073bf88f5129073e&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=0741111344
潮剧选段郎探母2,https://vd2.bdstatic.com/mda-kfmgjz3mkxur6cbe/sc/mda-kfmgjz3mkxur6cbe.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640590851-0-0-5747ee813361d4525bb67749d1670c04&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=0651283721
潮剧选段郎探母3,https://vd4.bdstatic.com/mda-ma9hjbknkh4hnf1d/v1-cae/sc/mda-ma9hjbknkh4hnf1d.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640591133-0-0-3942b515e5d0b06bb72862ff89f961d1&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=0933487846
潮剧选段三篙恨,https://vd2.bdstatic.com/mda-iiidr8jb7dd652gs/sc/mda-iiidr8jb7dd652gs.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640589793-0-0-894b496e932b6254b1af46163347fe51&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=3193271951
潮剧选段井边会,https://vd3.bdstatic.com/mda-mbjgbutxtzqi7273/v1-cae/sc/mda-mbjgbutxtzqi7273.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640591540-0-0-7f226c5d04987a050fe2ffa45e81442c&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=1340029521
潮剧选段十年悲与怨,https://vd4.bdstatic.com/mda-jf8pycu5zjuqc0wg/sc/mda-jf8pycu5zjuqc0wg.mp4?v_from_s=hkapp-haokan-hna&auth_key=1640589979-0-0-fc5cefe016eff01f35f0b698c9d636f5&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=3379194261
潮剧选段秦香莲,https://vd2.bdstatic.com/mda-jgrnevuc846qrjqw/mda-jgrnevuc846qrjqw.mp4?v_from_s=hkapp-haokan-hna&auth_key=1640590073-0-0-9bb6383537e76ea3a57b5989eb4a8f3c&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=3473524277
潮剧选段辽宋情缘,https://vd3.bdstatic.com/mda-jhekzafgfj97gx19/hd/mda-jhekzafgfj97gx19.mp4?v_from_s=hkapp-haokan-hna&auth_key=1640590112-0-0-5c61276561584c08277f7ac60b2475fa&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=3512435174
潮剧选段鸳鸯情缘,https://vd4.bdstatic.com/mda-jfhqzh0g04sxxb0t/sc/mda-jfhqzh0g04sxxb0t.mp4?v_from_s=hkapp-haokan-hna&auth_key=1640590158-0-0-5edd539a438f8831a42a01f1859924d1&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=3558457863
潮剧选段花蕊夫人,https://vd2.bdstatic.com/mda-jh2rie2r30gibbin/sc/mda-jh2rie2r30gibbin.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640590194-0-0-810dfbeb6a2ec7335056f4af8cdfe651&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=3594025167
潮剧选段秦香莲2,https://vd2.bdstatic.com/mda-jgvt5hpyd77i1vzb/sc/mda-jgvt5hpyd77i1vzb.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640590296-0-0-5bb91ddf6841a5c3c563ffdeafcd959a&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=0095895746
潮剧选段赵少卿,https://vd2.bdstatic.com/mda-jgsv4kkm7iyxhri3/sc/mda-jgsv4kkm7iyxhri3.mp4?v_from_s=hkapp-haokan-hna&auth_key=1640590352-0-0-2bc230c1d5dcaedab6143f89af549c7d&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=0152002054
潮剧选段包公会李后,https://vd3.bdstatic.com/mda-jg7pay02t7cde03h/mda-jg7pay02t7cde03h.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640590504-0-0-213b9bb94e860f08a0ffd4d7b2357195&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=0304810827
潮剧选段告亲夫1,https://vd2.bdstatic.com/mda-kkrpzyeuyzngu3ew/v1-cae/sc/mda-kkrpzyeuyzngu3ew.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1640591911-0-0-88ed86d5eb861115a58ce057fa26e774&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=1711343131
潮剧选段告亲夫2,https://vd2.bdstatic.com/mda-jf9rnmw1eqnsbrnx/sc/mda-jf9rnmw1eqnsbrnx.mp4?v_from_s=hkapp-haokan-hna&auth_key=1640591721-0-0-c68422a68293e5339f6937209238d351&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=1521268026
潮剧选段陈琳救主,https://vd3.bdstatic.com/mda-mask10zt2mhwkwhn/v1-cae/sc/mda-mask10zt2mhwkwhn.mp4?v_from_s=hkapp-haokan-hna&auth_key=1640590612-0-0-a8d9d96285d961926f9798074da64d45&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=3000203_4&klogid=0412635095
$c_start电视剧台$c_end
龙鑫网络电影,http://106.115.27.11:9901/tsfile/live/1029_1.m3u8
TVB劇場,http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8
电视剧台,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231763/index.m3u8
精彩??电视剧 10M1080,http://39.134.19.252:6610/yinhe/2/ch00000090990000001276/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.33.93/PLTV/88888893/224/3221226012/index.m3u8
小猪佩奇,http://baiducdncmn2.inter.iqiyi.com/tslive/c53_lb_78_1080P_t10/c53_lb_78_1080P_t10.m3u8
猫和老鼠,http://112.49.51.41/r/baiducdncmn2.inter.iqiyi.com/tslive/c52_lb_83_600_t10/c52_lb_83_600_t10.m3u8
CETV1,http://111.59.189.40:8445/tsfile/live/1013_1.m3u8
凤凰香港,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
天津卫视,http://111.59.189.40:8445/tsfile/live/0135_1.m3u8
东方卫视,http://111.59.189.40:8445/tsfile/live/0107_1.m3u8
湖南卫视,http://111.59.189.40:8445/tsfile/live/0128_1.m3u8
浙江卫视,http://111.59.189.40:8445/tsfile/live/0124_1.m3u8
江苏卫视,http://111.59.189.40:8445/tsfile/live/0127_1.m3u8
江西卫视,http://111.59.189.40:8445/tsfile/live/0010_1.m3u8
湖北卫视,http://111.59.189.40:8445/tsfile/live/0132_1.m3u8
安徽卫视,http://111.59.189.40:8445/tsfile/live/0130_1.m3u8
河南卫视,http://111.59.189.40:8445/tsfile/live/0139_1.m3u8
河北卫视,http://111.59.189.40:8445/tsfile/live/0117_1.m3u8
山西卫视,http://111.59.189.40:8445/tsfile/live/0118_1.m3u8
辽宁卫视,http://111.59.189.40:8445/tsfile/live/0121_1.m3u8
深圳卫视,http://111.59.189.40:8445/tsfile/live/0126_1.m3u8
山东卫视,http://111.59.189.40:8445/tsfile/live/0131_1.m3u8
重庆卫视,http://111.59.189.40:8445/tsfile/live/0142_1.m3u8
广东卫视,http://111.59.189.40:8445/tsfile/live/0125_1.m3u8
吉林卫视,http://111.59.189.40:8445/tsfile/live/1014_1.m3u8
陕西卫视,http://111.59.189.40:8445/tsfile/live/0136_1.m3u8
四川卫视,http://111.59.189.40:8445/tsfile/live/0123_1.m3u8
贵州卫视,http://111.59.189.40:8445/tsfile/live/0120_1.m3u8
兵团卫视,http://111.59.189.40:8445/tsfile/live/0115_1.m3u8
广西综艺,http://111.59.189.40:8445/tsfile/live/1023_1.m3u8
广西影视,http://111.59.189.40:8445/tsfile/live/1024_1.m3u8
广西新闻,http://111.59.189.40:8445/tsfile/live/1025_1.m3u8
广西都市,http://111.59.189.40:8445/tsfile/live/1027_1.m3u8
金鹰卡通,http://111.59.189.40:8445/tsfile/live/1016_1.m3u8
北京少儿,http://111.59.189.40:8445/tsfile/live/1015_1.m3u8
$c_start阿弥陀佛$c_end
生命台1080p,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
悟性法师,https://vod.amtb.de/redirect/liveedge/_definst_/wdmaster/playlist.m3u8
佛卫慈悲台,https://vod.amtb.de/redirect/liveedge/_definst_/livetv/playlist.m3u8
三时系念,https://vod.amtb.de/redirect/liveedge/_definst_/sanshi_720p/playlist.m3u8
念佛堂,https://vod.amtb.de/redirect/liveedge/_definst_/amtb/playlist.m3u8
$c_start经典歌曲精选$c_end
谭咏麟1991梦幻柔情演唱会,https://vd2.bdstatic.com/mda-me80nt5k15dzny43/cae_h264/1620522943022660064/mda-me80nt5k15dzny43.mp4?v_from_s=hkapp-haokan-hna&auth_key=1642846133-0-0-1ea1e5532acde2839d74977f00a9f353&bcevod_channel=searchbox_feed&pd=1&pt=3&logid=2333720297&vid=10383255679689906926&abtest=&klogid=2333720297
谭咏麟,https://vd2.bdstatic.com/mda-me80eu8yykt15rcb/cae_h264/1620522239296820331/mda-me80eu8yykt15rcb.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1642845876-0-0-16b8b6a7df0c8be7fb6279f595024b11&bcevod_channel=searchbox_feed&pd=1&pt=3&logid=2076399173&vid=13856784863713617400&abtest=&klogid=2076399173
荷东经典的士高Brother Louie,https://vd2.bdstatic.com/mda-mmt2evivyzpcx7xc/sc/cae_h264/1640659218020496995/mda-mmt2evivyzpcx7xc.mp4
【SING女团】《风陵渡口》歌词版PV,https://vdse.bdstatic.com//a499dfbec34060ce0f380ea789446f07.mp4
5首伤感情歌DJ,https://vdse.bdstatic.com//a34f76474b9bdfca8c487761861fb603.mp4
几首绝美情歌DJ精选,https://vdse.bdstatic.com//c5c64b60c9fdfbdfa3e959bb1d56c4b0.mp4
2021爆红伤感DJ情歌,https://vdse.bdstatic.com//92fae64ee11e2684faa61924be62c8ef.mp4
《涛声依旧》《潇洒走一回》《昨夜星辰》《女儿情》《潮湿的心》,https://vdse.bdstatic.com//f07a3d6a6489458c717c07dc5faf8523.mp4
《天路》《驼铃》《鸿雁》《九儿》《绒花》《小芳》,https://vdse.bdstatic.com//e4b7325ebf3010673a51a24f948a8a97.mp4
《驼铃》《卓玛》《天边》《鸿雁》《天路》草原歌曲,https://vdse.bdstatic.com//f8f4740a4ca7ff31c3a2d8386fc14598.mp4
六字真言颂,https://vdse.bdstatic.com//0b589b87f310e0aa4e460ab6ecdb8fa8.mp4
降央卓玛：这几首歌曲太动听,https://vdse.bdstatic.com//0ce1279c88ff9ab48f48d4e86860cd46.mp4
<可可托海的牧羊人><送亲><站着等你三千年><红尘情歌>,https://vdse.bdstatic.com//695c59600d85d94047f091d3dc8c35d0.mp4
刀郎经典老歌《手心里的温柔》《西海情歌》《披着羊皮的狼》,https://vdse.bdstatic.com//2f53687e421524efba9ba2b528f7bd12.mp4
毛宁《涛声依旧》《晚秋》《心雨》《春风吻上我的脸》《大中国》,https://vdse.bdstatic.com//21736d388636d7648510b2a36fc7cbfd.mp4
山歌《阿里山的姑娘》《康定情歌》《山路十八弯》《敖包相会》,https://vdse.bdstatic.com//ae82f5b93166f47d85ff12124a021323.mp4
《涛声依旧》《雾里看花》《窗外》《心雨》《听心》《晚秋》《母亲》,https://vdse.bdstatic.com//db8ba0fda2aad9cb15aa32887a160f06.mp4
《窗外》《同桌的你》《心太软》《心雨》《小芳》,https://vdse.bdstatic.com//97183ae857df5213fcfaf0fabc18efc3.mp4
张也《望星空/为了谁/人间第一情/红梅赞/高天上流云》,https://vdse.bdstatic.com//038c6250208e42b9427a885e0370e1a2.mp4
《来生再去拥抱你》《梨花飞情人泪》《落雨的秋》《梦醉荷塘》,https://vdse.bdstatic.com//d5e3237c7ef186217ea1c9b24d58e2ae.mp4
宇宁《千里江山（大型纪录片《紫禁城》主题歌,https://vdse.bdstatic.com//688046e42c39cf6585106f945e2798e7.mov
【经典老歌】DJ版《精选8首》,https://vdse.bdstatic.com//0ac0c7446ae226121af41b2b4e375ae3.mp4
经典老歌精选八首《闽南语》,https://vdse.bdstatic.com//4933aab0ea147ecb82b047c44b4ae055.mp4
经典老歌DJ版精选六首,https://vdse.bdstatic.com//f203048340fe15016fbec9a72905680d.mp4
【老歌DJ版】《精选8首》,https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
【经典老歌】DJ版《精选8首》,https://vdse.bdstatic.com//200ab148a9e867ad29f5fda4ac175305.mp4
2021一夜火爆几首DJ舞曲,https://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4
2021《精选5首酒吧DJ舞曲》,https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4
2021火爆女生版伤感DJ情歌,https://vdse.bdstatic.com//8fe197e92568201d4899dfd3d94585a7.mp4
2021最佳伤感情歌,https://vdse.bdstatic.com//59c5abc138bf1da5585bb765c530137e.mp4
2021伤感洗脑神曲,https://vdse.bdstatic.com//8ad29ca92a901b9992431cf0c5266101.mp4
2021最新情歌,https://vdse.bdstatic.com//3d84abfc356b7a2f128eea22fcb442a2.mp4
2021最好听情歌,https://vdse.bdstatic.com//e668900af1d683c1f8762c1184d516d3.mp4
让人陶醉的几首DJ舞曲,https://vdse.bdstatic.com//0f464b2beaf5887f90ac36b68fcd342f.mp4
2021催泪情歌DJ,https://vdse.bdstatic.com//b3a011133da73776af09309a9ee4d4c9.mp4
女生DJ伤感情歌,https://vdse.bdstatic.com//8fe41305b5c64f8e11715b4dfd442c67.mp4
巨星珍藏系列:邓丽君经典歌曲精选(1),https://vdse.bdstatic.com//d2b16e989b950ad5db5461066c8dbf46.mp4
巨星珍藏系列:邓丽君经典歌曲精选(2),https://vdse.bdstatic.com//9b36b59762cdf4a47f8c27672b35e343.mp4
巨星珍藏系列：邓丽君经典歌曲精选（3),https://vdse.bdstatic.com//a43cab220b1ac8f879a1b5e29592c9f3.mp4
巨星珍藏系列:邓丽君经典歌曲精选(4),https://vdse.bdstatic.com//286f53c579b11eecd2d70f985a685ae9.mp4
精选邓丽君经典歌曲8首,https://vdse.bdstatic.com//6fdc7d09e2f04a19745752bb60fbcc76.mp4
邓丽君 歌曲精选九首 经典歌曲,https://vdse.bdstatic.com//432792ba00998e73655101c9e706e1e2.mp4
邓丽君经典歌曲联唱,https://vdse.bdstatic.com//e4ef0d3bbf543b6ad61553680052a800.mp4
金典老歌,https://vdse.bdstatic.com//36ea0ffcf8156a44b9d524d999eb088a.mp4
刀郎经典歌曲7首：《西海情歌》《敖包相会》《情人》冲动的惩罚,https://vdse.bdstatic.com//628ca08719cef5987ea2ae3c6f0d2386.mp4
刀郎经典歌曲精选,https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4
刀郎经典老歌合集《披着羊皮的狼》《西海情歌》《冲动的惩罚》,https://vdse.bdstatic.com//bfbb0871ed01eb3328497faae6a8531b.mp4
经典【刀郎】歌曲精选《冲动的惩罚》《西海情歌》《驼铃》等,https://vdse.bdstatic.com//32366fcdc5f95486daaebcc32bec1135.mp4
刀郎作品精选（词曲唱）,https://upos-sz-mirrorcos.bilivideo.com/upgcxcode/20/55/86125520/86125520-1-6.mp4
云朵、刀郎、孙露、张雨生等经典怀旧歌曲6首,https://vdse.bdstatic.com//fa0ed7ad8657cc4d13972c3d9aa5ddbf.mp4
怀旧金曲:刀郎《黄玫瑰》,https://vdse.bdstatic.com//893331fdfab5d04e5c93e2adbbf1e949.mp4
《那一夜》谢军,https://vdse.bdstatic.com//da6d866213a8bce7b317f508cf702e2e.mp4
刀郎经典歌曲《情人/为什么我泪水成行/2002年的第一场雪》等,https://vdse.bdstatic.com//9b34ac60de14344db632ced1bdac9ef3.mp4
电子琴经典曲目《故乡/片片枫叶情》等,https://vdse.bdstatic.com//4132f92618c08f23b618c12ea86ae767.mp4
《偏偏喜欢你》《千千阙歌》《光辉岁月》《海阔天空》《上海滩》,https://vdse.bdstatic.com//c1e04e418d20de0e27b5bf09722d96e7.mp4
经典粤语歌曲《上海滩》《铁血丹心》《神情神话》《沧海一声笑》,https://vdse.bdstatic.com//f9cd
龙飘飘经典歌曲6首联唱,https://vdse.bdstatic.com//abae155e6b9e79872a313aa47d75cdf4.mp4
龙飘飘经典歌曲4首,https://vdse.bdstatic.com//d34849bc0342bf0dbf1d94a97c99175e.mp4
美酒加咖啡 龙飘飘,https://vdse.bdstatic.com//816c73543ede254586a625cacc67ea0f.mp4
龙飘飘《歌声恋情》,https://vdse.bdstatic.com//552f15ac34dc97bdb3cc7725cd0a0aa4.mp4
龙飘飘《往事》,https://vdse.bdstatic.com//a28e362e15fa8c361219944bfb59b596.mp4
龙飘飘《我没醉》,https://vdse.bdstatic.com//3d48e45e47836cd75c202ec957260837.mp4
